Title;Citation;Filename;Cohort;Gait Task;Dual-layer cap;Type of EEG electrodes;Gait measurement system;Flow of preprocessing steps;corrected_keywords_VV;Artifactrej_methods
"Brain Networks Modulation during Simple and Complex Gait: A ""Mobile Brain/Body Imaging"" Study";Bonassi, G., et al., 2024;PMC11086305.pdf;Healthy adults;Overground walking;No;Passive electrodes;OMC;"1. Bad-channel correction
2. Filtering in the frequency band [1-80 Hz]
3. Attenuation of ocular, movement, and myogenic artifacts
4. Head model creation using a template MR image and electrode positions
5. Source localization using the eLORETA method
6. Projection of neural signal to a single dimension using principal component analysis";['raw_data','artifact_rejection', 'bandpass_filter', 'artifact_rejection'];bad_channel_correction, PCA, eye_artifact_correction
Neural oscillations during motor imagery of complex gait: an HdEEG study;Putzolu, M., et al., 2022;PMC8918338.pdf;Healthy adults;Others;No;Active electrodes;NA;"1. Identify and correct bad channels by interpolating their time course from neighboring channels.
2. Filter signals in the 1-80 Hz band using EEGLab.
3. Reject ocular and muscular artifacts using Independent Component Analysis (ICA).
4. Subtract time courses of ICs classified as bad from hdEEG data.
5. Re-reference clean hdEEG recordings using the average re-reference approach.";['raw_data', 'bad_channel_detection','artifact_rejection', 'bandpass_filter', 'IC_decomposition', 'IC_rejection', 're_reference'];bad_channel_interpolation
Brain Activity Response to Visual Cues for Gait Impairment in Parkinson's Disease: An EEG Study;Stuart, S., et al., 2021;PMC8593320.pdf;People with Parkinson's disease;Overground walking;No;Not mentioned;IMU;"1. Downsample EEG data from 2000 Hz to 500 Hz.
2. Apply band-pass filter in the 1-200 Hz range.
3. Use cleanLineNoise function to reduce line noise.
4. Conduct visual inspection to remove 'bad' data segments.
5. Remove bad channels and correct data using Artefact Subspace Reconstruction (ASR).
6. Average reference the data.
7. Perform Independent Component Analysis (ICA).
8. Use dipfit function to determine equivalent dipole model for each IC.
9. Exclude components with high residual variance or outside brain model space.
10. Perform IC clustering using robust K-means method.
11. Conduct further visual inspection to remove artifact sources from clusters.";['raw_data','downsample', 'bandpass_filter', 'notch_filter','bad_channel_detection', 'artifact_rejection','re_reference', 'IC_decomposition', 'IC_rejection', 'clustering','artifact_rejection'];manual_selection, clean_rawdata, ASR
EEG beta-modulations reflect age-specific motor resource allocation during dual-task walking;Protzak, J., et al., 2021;PMC8352863.pdf;Healthy adults;Overground walking;No;Active electrodes;OMC;"1. Highpass filtering at 0.1 Hz and lowpass filtering at 100 Hz.
2. Artifact rejection based on predefined criteria and manual inspection.
3. Re-referencing to a common average reference.
4. Creation of a copy of the data set highpass filtered at 1 Hz for visual inspection of artifacts.
5. Decomposition using adaptive mixture independent component analysis (AMICA).
6. Mapping IC weights back onto the original data and lowpass filtering at 40 Hz.
7. Replacement of rejected electrodes using spherical spline interpolation.
8. Localization of equivalent dipole models using the BEM head model.
9. Selection of ICs classified as reflecting brain sources.
10. Segmentation into epochs of 2.5 seconds starting before stimulus onset.
11. Discarding epochs exceeding a threshold criterion of 80mV.";['raw_data', 'highpass_filter', 'lowpass_filter', 'artifact_rejection', 're_reference', 'highpass_filter', 'IC_decomposition', 'lowpass_filter', 'artifact_rejection', 'dipole_fitting', 'IC_rejection', 'artifact_rejection'];bad_channel_removal, manual_selection, epoch_rejection
Improved cortical activity and reduced gait asymmetry during poststroke self-paced walking rehabilitation;Oh, K., et al., 2021;PMC8042685.pdf;Other clinical cohort;Treadmill walking;Maybe;Active electrodes;"Force-based;OMC";"1. Combine all signals from walking trials and rest periods into a single dataset.
2. Apply a Butterworth 5th order high-pass filter with a cutoff frequency of 1 Hz.
3. Eliminate noisy data based on standard deviation and kurtosis criteria.
4. Re-reference EEG signals to a common average value.
5. Use artifact subspace reconstruction (ASR) to remove artifact-contaminated signals.
6. Conduct a statistical test to identify and remove corrupted data based on variance thresholds.
7. Perform extended independent component analysis (EICA) to isolate brain signals.
8. Identify equivalent current dipole sources using the DIPFIT function.
9. Neglect dipoles with low variance and classify others as brain or non-brain sources.
10. Conduct k-means clustering of independent components based on power spectral density and dipole location.
11. Identify and remove outliers from the analysis.
12. Identify Brodmann areas for the estimated clusters using the Talairach atlas.";['raw_data', 'highpass_filter', 'artifact_rejection', 're_reference', 'artifact_rejection', 'IC_decomposition', 'dipole_fitting', 'clustering', 'IC_rejection'];ASR
Scalp recorded theta activity is modulated by reward, direction, and speed during virtual navigation in freely moving humans;Lin, M.-H., et al., 2022;PMC8821620.pdf;Healthy adults;Overground walking;No;Active electrodes;Other;"1. Analyze raw EEG recordings using BrainVision Analyzer 2.
2. Exclude first five trials and trials with response times outside 2.5% bounds.
3. Filter raw EEG signals using a fourth-order digital Butterworth filter (0.10-40 Hz).
4. Recreate activity at online reference electrode FCz.
5. Perform ocular correction via ICA.
6. Apply ICA correction to 12 scalp electrodes.
7. Divide analysis into feedback-locked and path analyses pipelines.
8. Segment signals into epochs based on feedback onset or trial onset.
9. Re-reference data using an average reference from specified channels.
10. Baseline correct using a mean voltage range from 200 to 0 ms preceding time 0.
11. Conduct artifact rejection with specific criteria for feedback-locked segments and a customized window for path analysis.
12. Identify and interpolate bad channels using nearest neighbors' signals.
13. Write data to MATLAB files for further processing.";['raw_data','bandpass_filter', 'IC_decomposition', 'IC_rejection', 'epoching', 're_reference', 'baseline_correction', 'artifact_rejection', 'bad_channel_detection', 'artifact_rejection'];eye_artifact_correction, bad_channel_interpolation
Pre-Movement Cortico-Muscular Dynamics Underlying Improved Parkinson Gait Initiation after Instructed Arm Swing;Weersink, J. B., et al., 2020;PMC7683047.pdf;Healthy adults and People with Parkinson's disease;Overground walking;No;Active electrodes;"IMU;EMG;Other";"1. Downsampled EEG recordings to 256 Hz.
2. Applied high-pass filter at 1 Hz.
3. Removed powerline noise at 50 and 100 Hz using Cleanline technique.
4. Removed channels with artifacts based on magnitude, kurtosis, and correlation criteria.
5. Re-referenced data to the average of remaining channels.
6. Applied independent component analysis (ICA).
7. Epooched data around movement onset.
8. Computed equivalent current dipole models for each independent component.
9. Removed non-electrocortical independent components.";['raw_data', 'downsample', 'highpass_filter', 'notch_filter', 'artifact_rejection', 're_reference', 'IC_decomposition', 'epoching', 'dipole_fitting', 'IC_rejection'];bad_channel_removal, bad_channel_interpolation, eye_artifact_correction, epoch_rejection
Connectivity of EEG synchronization networks increases for Parkinson's disease patients with freezing of gait;Asher, E., et al., 2021;PMC8405655.pdf;Healthy adults and People with Parkinson's disease;Overground walking;No;Passive electrodes;Other;"1. Omitting data from electrodes with high impedance (>10 kΩ) and high standard deviation.
2. Data downsampling from 2048 to 256 Hz.
3. Basic finite impulse response high-pass filtering with a threshold of 0.1 Hz.
4. Applying Independent Component Analysis (ICA) for the removal of eye movements and general movement artifacts.
5. Visually inspecting and removing a minimal number of components (2 or 3) based on component activation, power spectra, and maps.";['raw_data','artifact_rejection', 'downsample', 'highpass_filter', 'IC_decomposition', 'IC_rejection'];bad_channel_removal
Differential Theta-Band Signatures of the Anterior Cingulate and Motor Cortices During Seated Locomotor Perturbations;Shirazi, S. Y., et al., 2021;PMC7989773.pdf;Healthy adults;Others;No;Active electrodes;Other;"1. High-pass filter at 1 Hz and 60 Hz line-noise filter (CleanLine) to clean raw data.
2. Concatenate data from all tasks into a single file.
3. Template correlation rejection method to exclude channels with cyclic artifacts.
4. Novel step-wise channel and frame rejection algorithm to reject noisy channels and frames.
5. Independent Component Analysis (ICA) using adaptive mixture ICA (AMICA).
6. Source estimation using DIPFIT.
7. Source classification using ICLabel as 'brain' or 'non-brain'.
8. Select best dataset based on 'brain' sources.
9. Cluster sources across subjects based on location, power spectrum, and scalp map.
10. Compute time-frequency spectral power for each source.
11. Determine significant event-related synchronization and desynchronization using bootstrapping.";['raw_data', 'highpass_filter', 'notch_filter', 'bad_channel_detection', 'artifact_rejection', 'IC_decomposition', 'dipole_fitting', 'IC_rejection', 'clustering'];automated_rejection
Backward Walking Induces Significantly Larger Upper-Mu-Rhythm Suppression Effects Than Forward Walking Does;Lin, N., et al., 2020;PMC7767098.pdf;Healthy adults;Treadmill walking;Maybe;Passive electrodes;Force-based;"1. Bandpass filtering between 1 and 50 Hz.
2. Adaptive filtering using LMS algorithm with GRF as noise source.
3. Low-pass filtering at 8.5 Hz and down-sampling to 50 Hz.
4. Visual inspection to remove distorted signal segments.
5. Independent Component Analysis (ICA) to decompose EEG data.
6. Reconstruction of EEG signals using retained ICA components (C3 and C4 channels).
7. Epoch division and statistical outlier removal based on extreme values and kurtosis.";['raw_data', 'bandpass_filter' , 'lowpass_filter', 'downsample', 'artifact_rejection', 'IC_decomposition', 'IC_rejection', 'epoching'];manual_selection
Faster gait speeds reduce alpha and beta EEG spectral power from human sensorimotor cortex;Nordin, A. D., et al., 2019;PMC7134343.pdf;Healthy adults;Treadmill walking;Yes;Active electrodes;Force-based;"1. High-pass filtering at 1Hz
2. Outlier channel rejection using statistical criteria
3. Common average referencing or robust average referencing
4. Downsampling to 256 Hz
5. Adaptive mixture independent component analysis (AMICA)
6. Modeling independent components as equivalent current dipoles
7. Rejection of components with high residual variance
8. Extraction of complete gait cycles
9. Time-frequency analysis using single trial spectrograms and ERSP plots
10. Group analysis using k-means clustering and averaging time-frequency data
11. Setting non-significant spectral power changes to zero using bootstrap methods
12. Evaluation of spectral power differences using nonparametric bootstrap-based ANOVA
13. Artifact subspace reconstruction (ASR)
14. Frequency domain noise cancellation
15. Principal component analysis (PCA) and canonical component analysis (CCA) for artifact removal";['raw_data', 'highpass_filter', 'bad_channel_detection', 'artifact_rejection', 're_reference', 'downsample', 'IC_decomposition', 'dipole_fitting', 'clustering', 'artifact_rejection', 'CA_rejection'];ASR, PCA, CCA
Prediction of gait intention from pre-movement EEG signals: a feasibility study;Shafiul Hasan, S. M., et al., 2020;PMC7164221.pdf;Healthy adults and Other clinical cohort;Overground walking;No;Active electrodes;"Force-based;IMU;EMG";"1. Downsample the signal to 250 Hz for computational efficiency.
2. Apply a high-pass filter with a 1 Hz cutoff to remove DC drift.
3. Use a notch filter to remove line noise at 60 Hz.
4. Perform Artifact Subspace Reconstruction (ASR) to remove large-amplitude noise and artifacts.
5. Re-reference the signal to a common average.
6. Apply Adaptive Mixture ICA (AMICA) for ICA decomposition.
7. Visually inspect and reject artefactual independent components.";['raw_data', 'downsample', 'highpass_filter', 'notch_filter', 'artifact_rejection', 're_reference', 'IC_decomposition', 'IC_rejection'];ASR
Corticomuscular control of walking in older people and people with parkinson's disease;Roeder, L., et al., 2020;PMC7031238.pdf;Healthy adults and People with Parkinson's disease;Treadmill walking and Overground walking;No;Passive electrodes;"Force-based;EMG";"1. Visual inspection and removal of segments with excessive noise.
2. Band-pass filtering (2nd order Butterworth, 0.5-70 Hz).
3. Re-referencing to a common average reference.
4. Independent component analysis (ICA) using the extended infomax algorithm.
5. Removal of independent components identified as artifacts.
6. Projection of remaining components back onto the channels.
7. Calculation of bipolar EEG montages from monopolar recordings.";['raw_data', 'artifact_rejection', 'bandpass_filter', 're_reference', 'IC_decomposition', 'IC_rejection'];manual_selection
Electrocortical correlates of human levelground, slope, and stair walking;Luu, T.P., et al., 2017;PMC5708801.pdf;Healthy adults;Overground walking;No;Active electrodes;"IMU; EMG";"1. Removal of EOG channels
2. High-pass filtering at 0.1 Hz using a 4th order Butterworth filter
3. Rejection of corrupted channels based on standard deviation and kurtosis
4. Re-referencing to common average
5. Artifact subspace reconstruction (ASR)
6. Down-sampling to 100 Hz
7. Independent component analysis (ICA)
8. Alignment with standard MNI brain model
9. Computation of equivalent current dipoles
10. Removal of ICs not meeting variance threshold or identified as non-brain artifacts
11. K-means clustering of remaining ICs";['raw_data', 'channel_removal', 'highpass_filter', 'artifact_rejection', 're_reference', 'artifact_rejection', 'downsample', 'IC_decomposition', 'dipole_fitting', 'IC_rejection', 'clustering'];ASR, bad_channel_removal
Cognitive performance and brain dynamics during walking with a novel bionic foot: A pilot study;De Pauw, K., et al., 2019;PMC6447229.pdf;Healthy adults and Other clinical cohort;Treadmill walking;No;Active electrodes;Force-based;"1. Removal of bad channels based on visual inspection and statistical measures (e.g., kurtosis).
2. Interpolation of removed channels using spherical splines.
3. Re-referencing to an average reference.
4. Down-sampling to 512Hz.
5. Application of Infinite Impulse Response Filters (high pass: 0.1Hz, low pass: 30Hz).
6. Minimal manual artifact removal (severe muscle artifacts, electrode shifts).
7. Independent Component Analysis (ICA) to extract and remove artifacts.
8. Removal of bad components based on scalp maps, time course, and activity power spectrum.
9. Back-projection of good independent components to original EEG signals.";['raw_data', 'bad_channel_detection', 'artifact_rejection', 're_reference', 'downsample', 'highpass_filter', 'lowpass_filter', 'artifact_rejection', 'IC_decomposition', 'IC_rejection'];manual_selection, bad_channel_removal, bad_channel_interpolation
Human electrocortical dynamics while stepping over obstacles;Nordin, A. D., et al., 2019;PMC6423113.pdf;Healthy adults;Treadmill walking;Yes;Active electrodes;"Force-based;OMC;IMU";"1. High-pass filter data at 1 Hz.
2. Re-reference scalp channel data to common average.
3. For dual-layer EEG, re-reference noise channels to common average before merging with scalp channels.
4. Perform Infomax independent component analysis.
5. Reject artifact-contaminated independent components based on power spectra criteria.
6. Model ICs as equivalent current dipoles using a boundary element model.
7. Use k-means clustering for group analysis.
8. Scale noise channel amplitudes to match EEG amplitudes.
9. Down-sample data to 256 Hz.
10. Apply adaptive mixture independent component analysis.";['raw_data', 'highpass_filter','artifact_rejection', 're_reference', 'downsample', 'IC_decomposition', 'IC_rejection', 'dipole_fitting', 'clustering'];bad_channel_removal
Rapid changes in arousal states of healthy volunteers during robot-assisted gait training: a quantitative time-series electroencephalography study;Nakanishi, Y., et al., 2014;PMC4022364.pdf;Healthy adults;Treadmill walking;No;Active electrodes;Force-based;"1. Filter raw EEG data with a high frequency cut-off at 50 Hz.
2. Transfer filtered data to another program for further processing.
3. Exclude distinct artifacts by visual inspection.
4. Extract 4-s segments of EEG data from filtered data.
5. Calculate power density of each segment using fast Fourier transform with a Hamming window.
6. Divide absolute power density into five frequency bands (delta, theta, alpha 1, alpha 2, beta).
7. Calculate power density at central and occipital regions using Cz and O1/O2 values.";['raw_data','lowpass_filter', 'artifact_rejection'];manual_selection
Decoding the Attentional Demands of Gait through EEG Gamma Band Features;Costa, Á., et al., 2016;PMC4846000.pdf;Healthy adults and Other clinical cohort;Treadmill walking;No;Active electrodes;NA;"1. Bandpass filtering between 0.5 and 100 Hz to remove blink and EMG artifacts.
2. Visual inspection and removal/reconstruction of noisy channels using spatial interpolation.
3. Standardization of signals using Maximum Visual Threshold (MV Threshold).
4. Computation of spectrum for each epoch to extract features for different frequency bands.
5. Feature extraction process applied to each session individually.";['raw_data', 'bandpass_filter', 'bad_channel_detection', 'artifact_rejection', 'notch_filter'];bad_channel_removal, bad_channel_interpolation
EEG Single-Trial Detection of Gait Speed Changes during Treadmill Walk;Lisi, G., et al., 2015;PMC4416798.pdf;Healthy adults;Treadmill walking;No;Active electrodes;Other;"1. Bandpass filtering from 1 Hz to 45 Hz.
2. Resampling at 256 Hz.
3. Infomax ICA (first computation).
4. Artifact rejection: removing segments with abnormal probability distributions.
5. Bandpass filtering between 8 and 40 Hz.
6. Infomax ICA (second computation).
7. Automatic rejection of artifactual spatial filters.
8. Multiplication of epochs by ICA unmixing matrix.
9. Muscle artifact rejection by analyzing spectrograms.
10. Principal Component Analysis (PCA) for dimensionality reduction.
11. Training and evaluation of sparse logistic regression classifier.";['raw_data', 'bandpass_filter', 'downsample', 'IC_decomposition', 'artifact_rejection', 'bandpass_filter','IC_decomposition', 'IC_rejection', 'artifact_rejection'];automated_rejection, epoch_rejection
Neural Correlates of Dual-Task Walking: Effects of Cognitive versus Motor Interference in Young Adults;Beurskens, R., et al., 2016;PMC4855015.pdf;Healthy adults;Overground walking;No;Active electrodes;Other;"1. Registration of EEG data at 1,024 Hz.
2. Bandpass filtering (0.5 Hz low-cutoff, 45 Hz high-cutoff).
3. Correction for eye movement artifacts.
4. Visual inspection and semiautomatic artifact rejection (gradient: <35 mV; amplitude range: -100 to 100 mV).
5. Segmentation into 1-second segments.
6. Spectral analysis using FFT with a resolution of 0.5 Hz.
7. Export of average voltage activity for alpha (8-12 Hz) and beta (13-30 Hz) bands.";['raw_data', 'bandpass_filter', 'artifact_rejection', 'epoching'];eye_artifact_correction, semiautomated_rejection
Independent Component Analysis of Gait-Related Movement Artifact Recorded using EEG Electrodes during Treadmill Walking;Snyder, K. L., et al., 2015;PMC4664645.pdf;Healthy adults;Treadmill walking;Yes;Active electrodes;"Force-based;OMC";"1. Filter movement artifact data above a frequency of 1 Hz.
2. Merge trials for all walking conditions into one dataset per subject.
3. Reject noisy channels based on standard deviation, correlation, and kurtosis.
4. Adjust standard deviation cutoffs for each subject.
5. Select a spatially distributed subset of channels to improve sample to channel-squared ratio.
6. Perform ICA using the AMICA algorithm.
7. Calculate dipole models using DIPFIT.
8. Analyze components with low residual variance and brain locations: topographical maps, power frequency spectra, average time course for a stride, and ERSPs.
9. Perform a split-half comparison to assess reliability of identifying movement artifact components.";['raw_data', 'highpass_filter', 'bad_channel_detection', 'artifact_rejection', 'IC_decomposition', 'dipole_fitting', 're_reference'];bad_channel_removal
Motion and Muscle Artifact Removal Validation Using an Electrical Head Phantom, Robotic Motion Platform, and Dual Layer Mobile EEG;Richer, N., et al., 2020;PMID_32746290.pdf;Healthy adults;Treadmill walking;Yes;Active electrodes;"Force-based;IMU";"1. High-pass filtering at 1 Hz.
2. Concatenation by walking speed condition and muscle amplitude condition.
3. Robust average reference.
4. Statistical channel rejection.
5. Artifact Subspace Reconstruction at different standard deviation cutoffs.
6. Canonical Correlation Analysis for muscle artifact removal.
7. Inclusion of isolated noise sensor recordings in ICA decomposition.
8. AMICA for source separation.";['raw_data', 'highpass_filter', 're_reference', 'artifact_rejection', 'IC_decomposition'];ASR, CCA
Alteration of brain dynamics during dual-task overground walking;Nenna, F., et al., 2021;PMID_32881128.pdf;Healthy adults;Overground walking;No;Active electrodes;Other;"1. Filter raw EEG data to 0.2 Hz to 90 Hz using a finite impulse response (FIR) filter and resample to 250 Hz.
2. Identify and remove bad channels using automated rejection based on kurtosis and probability functions.
3. Interpolate removed channels with spherical interpolation and re-reference data to the average reference.
4. Visually inspect for additional spikes and artifacts.
5. Remove eye blink artifacts using adaptive mixture independent component analysis (AMICA).
6. Remove ICs representing eye movements based on visual inspection and component power spectra.
7. Low-pass filter the dataset at 40 Hz.
8. Epoch the cleaned dataset with a prestimulus baseline and perform baseline correction.";['raw_data', 'bandpass_filter', 'downsample', 'bad_channel_detection', 'artifact_rejection', 're_reference', 'artifact_rejection', 'IC_decomposition', 'IC_rejection', 'lowpass_filter', 'epoching', 'baseline_correction'];automated_rejection, bad_channel_removal, bad_channel_interpolation
